ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0050790,regulation of catalytic activity,25/668,73/10114,2.2883246843706553e-12,7.826070420547641e-10,6.503659629263968e-10,MGG_00446/MGG_00928/MGG_01258/MGG_01472/MGG_01695/MGG_01745/MGG_03064/MGG_03275/MGG_04377/MGG_04520/MGG_04954/MGG_05151/MGG_05991/MGG_06158/MGG_06390/MGG_06476/MGG_06504/MGG_06905/MGG_07335/MGG_09531/MGG_11178/MGG_11784/MGG_12130/MGG_12336/MGG_14173,25
GO:0003723,RNA binding,44/668,251/10114,1.789466429281246e-9,3.059987594070931e-7,2.5429259784522975e-7,MGG_00444/MGG_00481/MGG_00976/MGG_01746/MGG_01781/MGG_02580/MGG_02730/MGG_03017/MGG_03053/MGG_03506/MGG_03572/MGG_04399/MGG_04405/MGG_04523/MGG_04621/MGG_04727/MGG_04985/MGG_05264/MGG_05307/MGG_05706/MGG_06318/MGG_06334/MGG_06396/MGG_06410/MGG_06481/MGG_06505/MGG_06658/MGG_07147/MGG_07203/MGG_08084/MGG_08693/MGG_08741/MGG_09170/MGG_10192/MGG_11457/MGG_11466/MGG_12301/MGG_12574/MGG_12972/MGG_13154/MGG_13803/MGG_15600/MGG_16154/MGG_16895,44
GO:0007165,signal transduction,19/668,78/10114,4.884503079727452e-7,5.568333510889296e-5,4.627423970268113e-5,MGG_00211/MGG_00345/MGG_01150/MGG_04377/MGG_05199/MGG_05332/MGG_06390/MGG_06930/MGG_07312/MGG_07517/MGG_08689/MGG_09210/MGG_09531/MGG_09898/MGG_09947/MGG_11174/MGG_12130/MGG_12377/MGG_12709,19
GO:0005622,intracellular anatomical structure,55/668,424/10114,8.960093902731957e-7,7.660880286835823e-5,6.366382509835865e-5,MGG_00169/MGG_00211/MGG_00345/MGG_00504/MGG_00852/MGG_00896/MGG_00928/MGG_01586/MGG_01695/MGG_01704/MGG_02493/MGG_02799/MGG_03017/MGG_03064/MGG_03204/MGG_03253/MGG_03265/MGG_03313/MGG_03451/MGG_04114/MGG_04377/MGG_04455/MGG_04878/MGG_04955/MGG_05133/MGG_05287/MGG_05332/MGG_05375/MGG_06005/MGG_06184/MGG_06358/MGG_06390/MGG_06658/MGG_06883/MGG_06905/MGG_06992/MGG_07312/MGG_07338/MGG_08613/MGG_08689/MGG_08757/MGG_09531/MGG_09701/MGG_09898/MGG_10162/MGG_11174/MGG_11178/MGG_11784/MGG_12336/MGG_12377/MGG_12926/MGG_12972/MGG_13013/MGG_14173/MGG_14517,55
GO:0035556,intracellular signal transduction,11/668,30/10114,1.6474916978235375e-6,1.1093786324313459e-4,9.219213011894843e-5,MGG_00211/MGG_00345/MGG_03064/MGG_05332/MGG_07312/MGG_08689/MGG_09531/MGG_09898/MGG_11174/MGG_12377/MGG_14517,11
GO:0005085,guanyl-nucleotide exchange factor activity,10/668,25/10114,1.9462783025111333e-6,1.1093786324313459e-4,9.219213011894843e-5,MGG_00928/MGG_01695/MGG_03064/MGG_03275/MGG_06476/MGG_06905/MGG_11178/MGG_11784/MGG_12336/MGG_14173,10
GO:0030479,actin cortical patch,7/668,12/10114,3.1417947694704964e-6,1.5349911587984424e-4,1.275615921439149e-4,MGG_00748/MGG_04478/MGG_04616/MGG_05626/MGG_06649/MGG_11243/MGG_12839,7
GO:0003779,actin binding,11/668,33/10114,4.8612260499019e-6,1.9630076627347368e-4,1.6313083069817758e-4,MGG_00748/MGG_02802/MGG_04478/MGG_05315/MGG_05626/MGG_06358/MGG_06389/MGG_06649/MGG_11243/MGG_12839/MGG_13013,11
GO:0035091,phosphatidylinositol binding,9/668,22/10114,5.165809638775623e-6,1.9630076627347368e-4,1.6313083069817758e-4,MGG_00455/MGG_00852/MGG_00960/MGG_01047/MGG_01434/MGG_01702/MGG_04955/MGG_06628/MGG_12832,9
GO:0043130,ubiquitin binding,8/668,18/10114,8.393345840482633e-6,2.8705242774450604e-4,2.3854772388740114e-4,MGG_00124/MGG_00455/MGG_00852/MGG_01704/MGG_04955/MGG_05626/MGG_08745/MGG_12163,8
GO:0006913,nucleocytoplasmic transport,7/668,14/10114,1.210812322944893e-5,3.6663134368839504e-4,3.0467978699866624e-4,MGG_00101/MGG_01311/MGG_04831/MGG_05095/MGG_06297/MGG_06426/MGG_08590,7
GO:0016301,kinase activity,32/668,216/10114,1.2864257673277019e-5,3.6663134368839504e-4,3.0467978699866624e-4,MGG_00345/MGG_00446/MGG_00481/MGG_00760/MGG_01196/MGG_01279/MGG_01702/MGG_01795/MGG_02757/MGG_02944/MGG_03007/MGG_03937/MGG_05199/MGG_05220/MGG_06393/MGG_06421/MGG_06572/MGG_06678/MGG_07012/MGG_07151/MGG_07291/MGG_07312/MGG_08159/MGG_08636/MGG_08689/MGG_11174/MGG_11326/MGG_12862/MGG_14757/MGG_14773/MGG_15156/MGG_15988,32
GO:0016310,phosphorylation,33/668,230/10114,1.8656747553910442e-5,4.90815974110567e-4,4.07880310895208e-4,MGG_00345/MGG_00446/MGG_00481/MGG_00760/MGG_01196/MGG_01279/MGG_01702/MGG_01795/MGG_02757/MGG_02944/MGG_03007/MGG_03937/MGG_05199/MGG_05220/MGG_06393/MGG_06421/MGG_06572/MGG_06678/MGG_07012/MGG_07151/MGG_07291/MGG_07312/MGG_08159/MGG_08636/MGG_08689/MGG_08804/MGG_11174/MGG_11326/MGG_12862/MGG_14757/MGG_14773/MGG_15156/MGG_15988,33
GO:0005856,cytoskeleton,13/668,53/10114,2.900667771686021e-5,7.085916985118708e-4,5.888573671843803e-4,MGG_00748/MGG_01757/MGG_01835/MGG_03567/MGG_04185/MGG_04366/MGG_04472/MGG_05060/MGG_05626/MGG_07129/MGG_07143/MGG_09495/MGG_12839,13
