ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0004674,protein serine/threonine kinase activity,9/186,104/10114,1.2120785413580181e-4,0.007723204941726632,0.005603960662877782,MGG_05220/MGG_06399/MGG_06413/MGG_06760/MGG_07291/MGG_10596/MGG_11326/MGG_12821/MGG_15988,9
GO:0004672,protein kinase activity,10/186,131/10114,1.46261472501802e-4,0.007723204941726632,0.005603960662877782,MGG_05220/MGG_06399/MGG_06413/MGG_06760/MGG_07291/MGG_08746/MGG_10596/MGG_11326/MGG_12821/MGG_15988,10
GO:0008654,phospholipid biosynthetic process,4/186,16/10114,1.695174506994267e-4,0.007723204941726632,0.005603960662877782,MGG_01311/MGG_06893/MGG_07037/MGG_09371,4
GO:0016301,kinase activity,13/186,216/10114,1.7284809745970786e-4,0.007723204941726632,0.005603960662877782,MGG_00481/MGG_05220/MGG_06399/MGG_06413/MGG_06760/MGG_07291/MGG_08159/MGG_08746/MGG_10596/MGG_11326/MGG_12821/MGG_12862/MGG_15988,13
GO:0006468,protein phosphorylation,10/186,135/10114,1.874564306244328e-4,0.007723204941726632,0.005603960662877782,MGG_05220/MGG_06399/MGG_06413/MGG_06760/MGG_07291/MGG_08746/MGG_10596/MGG_11326/MGG_12821/MGG_15988,10
GO:0016310,phosphorylation,13/186,230/10114,3.1986071995166777e-4,0.009575800494469334,0.006948204753268501,MGG_00481/MGG_05220/MGG_06399/MGG_06413/MGG_06760/MGG_07291/MGG_08159/MGG_08746/MGG_10596/MGG_11326/MGG_12821/MGG_12862/MGG_15988,13
GO:0016772,"transferase activity, transferring phosphorus-containing groups",11/186,173/10114,3.433773335737865e-4,0.009575800494469334,0.006948204753268501,MGG_05220/MGG_06399/MGG_06413/MGG_06760/MGG_07291/MGG_08746/MGG_09371/MGG_10596/MGG_11326/MGG_12862/MGG_15988,11
GO:0050790,regulation of catalytic activity,7/186,73/10114,3.7187574735803237e-4,0.009575800494469334,0.006948204753268501,MGG_01745/MGG_03162/MGG_05991/MGG_06390/MGG_09531/MGG_11178/MGG_14173,7
GO:0010008,endosome membrane,4/186,21/10114,5.187372470325433e-4,0.011873319209855992,0.008615285272353354,MGG_01427/MGG_05626/MGG_07037/MGG_12839,4
GO:0005789,endoplasmic reticulum membrane,9/186,130/10114,6.454251678557311e-4,0.013295758457828061,0.00964740777215935,MGG_01108/MGG_03644/MGG_04427/MGG_06143/MGG_06390/MGG_08858/MGG_08975/MGG_09310/MGG_12141,9
GO:0008047,enzyme activator activity,3/186,11/10114,9.05738330060834e-4,0.0169620087265938,0.012307640465898415,MGG_05522/MGG_06390/MGG_09531,3
GO:0005096,GTPase activator activity,4/186,25/10114,0.0010352138170066478,0.017771170525280787,0.012894768597802106,MGG_01745/MGG_03162/MGG_06390/MGG_09531,4
GO:0030479,actin cortical patch,3/186,12/10114,0.0011913694824102978,0.018878624105886258,0.013698337368604237,MGG_04478/MGG_05626/MGG_12839,3
GO:0016758,hexosyltransferase activity,4/186,27/10114,0.0013956176206383502,0.020535516417964295,0.014900579107567353,MGG_03459/MGG_09310/MGG_13014/MGG_15865,4
GO:0005886,plasma membrane,6/186,70/10114,0.0017638585106995687,0.02395699469221766,0.01738320514202815,MGG_01047/MGG_05211/MGG_05626/MGG_06033/MGG_12839/MGG_13014,6
GO:0005783,endoplasmic reticulum,9/186,151/10114,0.001860737451822731,0.02395699469221766,0.01738320514202815,MGG_01108/MGG_03644/MGG_04427/MGG_06143/MGG_06893/MGG_08858/MGG_08975/MGG_09310/MGG_12141,9
GO:0005509,calcium ion binding,5/186,55/10114,0.003294790906403657,0.03770705148439741,0.027360251971305226,MGG_03714/MGG_04478/MGG_07037/MGG_09471/MGG_12839,5
GO:0006260,DNA replication,5/186,55/10114,0.003294790906403657,0.03770705148439741,0.027360251971305226,MGG_02491/MGG_03204/MGG_05615/MGG_11196/MGG_14751,5
GO:0043130,ubiquitin binding,3/186,18/10114,0.004074299302522582,0.04417398191156063,0.032052659332864636,MGG_00124/MGG_01656/MGG_05626,3
GO:0006897,endocytosis,3/186,19/10114,0.004773402570682336,0.049166046478028066,0.03567490342299431,MGG_05626/MGG_12839/MGG_12862,3
