ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0004674,protein serine/threonine kinase activity,15/80,104/10114,2.055983636712617e-15,2.775577909562033e-13,2.20747716783881e-13,MGG_00760/MGG_00800/MGG_01362/MGG_01795/MGG_01822/MGG_06320/MGG_06393/MGG_06399/MGG_06760/MGG_09565/MGG_12122/MGG_12821/MGG_13401/MGG_14773/MGG_15325,15
GO:0016301,kinase activity,18/80,216/10114,4.642344781909086e-14,3.133582727788633e-12,2.4922061460775097e-12,MGG_00446/MGG_00760/MGG_00800/MGG_01362/MGG_01795/MGG_01822/MGG_01828/MGG_06320/MGG_06393/MGG_06399/MGG_06760/MGG_08622/MGG_09565/MGG_12122/MGG_12821/MGG_13401/MGG_14773/MGG_15325,18
GO:0004672,protein kinase activity,15/80,131/10114,6.979358290408778e-14,3.1407112306839503e-12,2.4978755986726156e-12,MGG_00760/MGG_00800/MGG_01362/MGG_01795/MGG_01822/MGG_06320/MGG_06393/MGG_06399/MGG_06760/MGG_09565/MGG_12122/MGG_12821/MGG_13401/MGG_14773/MGG_15325,15
GO:0006468,protein phosphorylation,15/80,135/10114,1.097196771327652e-13,3.703039103230826e-12,2.9451071230373824e-12,MGG_00760/MGG_00800/MGG_01362/MGG_01795/MGG_01822/MGG_06320/MGG_06393/MGG_06399/MGG_06760/MGG_09565/MGG_12122/MGG_12821/MGG_13401/MGG_14773/MGG_15325,15
GO:0016310,phosphorylation,18/80,230/10114,1.384828365984982e-13,3.739036588159451e-12,2.973736701694067e-12,MGG_00446/MGG_00760/MGG_00800/MGG_01362/MGG_01795/MGG_01822/MGG_01828/MGG_06320/MGG_06393/MGG_06399/MGG_06760/MGG_08622/MGG_09565/MGG_12122/MGG_12821/MGG_13401/MGG_14773/MGG_15325,18
GO:0016772,"transferase activity, transferring phosphorus-containing groups",12/80,173/10114,9.399343923737834e-9,2.1148523828410126e-7,1.6819878600372967e-7,MGG_00760/MGG_00800/MGG_01362/MGG_01795/MGG_06320/MGG_06399/MGG_06760/MGG_09565/MGG_12122/MGG_13401/MGG_14773/MGG_15325,12
GO:0106310,protein serine kinase activity,6/80,26/10114,4.109541528443079e-8,7.92554437628308e-7,6.303356930845025e-7,MGG_01795/MGG_01822/MGG_06320/MGG_06393/MGG_09565/MGG_12821,6
GO:0043022,ribosome binding,3/80,13/10114,1.2873473166041032e-4,0.002172398596769424,0.0017277556091265596,MGG_01671/MGG_02696/MGG_10565,3
GO:0005622,intracellular anatomical structure,10/80,424/10114,0.001793925169220393,0.026908877538305894,0.021401212545085393,MGG_00501/MGG_01106/MGG_01695/MGG_02824/MGG_03265/MGG_05203/MGG_06480/MGG_08757/MGG_10162/MGG_12958,10
GO:0050790,regulation of catalytic activity,4/80,73/10114,0.0026122656121042465,0.03274848020681672,0.026045574901327914,MGG_00153/MGG_00446/MGG_01472/MGG_01695,4
GO:1990939,ATP-dependent microtubule motor activity,2/80,10/10114,0.002668394683518399,0.03274848020681672,0.026045574901327914,MGG_01757/MGG_02425,2
