ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0050790,regulation of catalytic activity,12/152,73/10114,7.171874394392798e-10,1.0901249079477053e-7,8.304275614560082e-8,MGG_01258/MGG_01472/MGG_01695/MGG_03064/MGG_03275/MGG_04954/MGG_05318/MGG_05637/MGG_06504/MGG_09531/MGG_11784/MGG_12644,12
GO:0005085,guanyl-nucleotide exchange factor activity,6/152,25/10114,1.4600627593068655e-6,1.1096476970732178e-4,8.452994922302907e-5,MGG_01695/MGG_03064/MGG_03275/MGG_05318/MGG_11784/MGG_12644,6
GO:0005096,GTPase activator activity,4/152,25/10114,4.8503241793455896e-4,0.018207674247063536,0.013870111961059481,MGG_01472/MGG_04954/MGG_09531/MGG_11425,4
GO:0005622,intracellular anatomical structure,16/152,424/10114,0.00062469984862780555,0.018207674247063536,0.013870111961059481,MGG_01209/MGG_01586/MGG_01695/MGG_03064/MGG_03164/MGG_03451/MGG_04878/MGG_05133/MGG_05238/MGG_05332/MGG_06883/MGG_08757/MGG_09531/MGG_11425/MGG_11784/MGG_12644,16
GO:0006914,autophagy,4/152,28/10114,7.580551673693524e-4,0.018207674247063536,0.013870111961059481,MGG_06393/MGG_12141/MGG_12832/MGG_17909,4
GO:0004672,protein kinase activity,8/152,131/10114,7.870693808509544e-4,0.018207674247063536,0.013870111961059481,MGG_00760/MGG_00800/MGG_01279/MGG_05220/MGG_06393/MGG_06599/MGG_07003/MGG_12821,8
GO:0004674,protein serine/threonine kinase activity,7/152,104/10114,9.482132955269863e-4,0.018207674247063536,0.013870111961059481,MGG_00760/MGG_00800/MGG_01279/MGG_05220/MGG_06393/MGG_06599/MGG_12821,7
GO:0006468,protein phosphorylation,8/152,135/10114,9.582986445822913e-4,0.018207674247063536,0.013870111961059481,MGG_00760/MGG_00800/MGG_01279/MGG_05220/MGG_06393/MGG_06599/MGG_07003/MGG_12821,8
GO:0005198,structural molecule activity,3/152,17/10114,0.0019386754843018768,0.032742074845987255,0.024942023774644034,MGG_03511/MGG_06504/MGG_11425,3
GO:0005874,microtubule,4/152,41/10114,0.0032234259127668567,0.04899607387405622,0.03732387898993203,MGG_01757/MGG_02425/MGG_02875/MGG_04185,4
